C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
3,3,3,2,3,3,1,2,4,2,1,80,6.5,240,84,40,6,4,1,28,49.85
2,2,0,3,2,2,0,1,4,4,3,100,4.85,60,63,5,4,1,2,0,81.78
3,3,2,2,3,1,3,2,4,3,2,100,8.5,60,56,5,4,2,0,0,68.41
0,3,2,1,2,2,3,4,3,2,0,90,6.3,840,70,40,2,4,1,133,49.84
0,4,2,1,3,3,4,2,3,4,0,90,8.6,1680,42,5,4,0,30,56,49.84
4,4,1,2,3,2,3,4,2,4,0,90,7.7,420,63,12,4,2,0,12,49.84
2,4,1,0,2,4,2,4,4,4,4,80,6.15,420,56,5,2,0,1,0,82.83
3,2,2,2,2,3,0,1,3,2,4,80,9,120,35,40,4,0,28,0,82.92
0,3,4,3,4,4,2,0,2,0,2,70,8.25,840,35,5,6,3,5,14,49.84
3,2,0,1,0,0,1,3,3,4,4,90,4.1,180,28,5,4,3,28,20,62.24
3,0,4,4,0,2,1,2,3,3,4,90,7.35,1260,63,0,4,4,6,70,82.46
3,3,1,0,3,2,3,3,4,3,4,70,3.95,60,56,0,10,1,0,0,82.12
0,1,0,1,0,1,1,2,4,4,1,80,6.25,360,56,5,2,0,1,0,49.85
1,3,3,1,2,0,3,2,4,2,2,60,7.5,360,42,40,4,1,8,2,49.84
2,4,2,1,2,1,3,2,3,2,3,90,5.3,60,77,40,10,4,1,0,62.12
3,3,4,0,3,2,4,2,3,1,4,80,7.35,60,70,0,10,2,10,0,82.92
2,2,1,1,1,4,1,1,2,1,3,70,8.1,420,63,12,10,4,3,1,54.82
2,2,1,2,1,3,1,4,3,2,2,80,6.4,1260,56,5,8,2,2,105,49.84
3,1,2,3,2,0,2,0,2,0,2,90,4.5,0,49,40,6,0,2,0,68.28
1,4,0,1,4,2,4,1,3,2,2,80,7.4,60,42,0,4,2,3,0,49.84
1,1,3,0,3,2,0,4,4,3,2,90,3.85,60,56,40,2,1,9,0,50.76
1,4,1,2,4,2,0,4,2,1,3,80,4.95,0,63,0,8,3,1,0,54.82
0,2,4,2,2,3,1,3,3,3,2,80,5.3,840,49,0,4,3,70,126,49.84
3,3,0,1,2,2,3,4,3,3,4,100,8.2,120,56,40,4,0,14,21,50.76
0,3,2,0,3,1,3,3,4,3,3,60,3.5,60,77,12,8,1,0,35,49.82
3,0,1,4,3,0,2,2,3,4,0,60,5.6,0,35,5,10,2,1,1,49.84
2,4,1,0,0,4,2,4,3,4,2,70,5.65,60,35,40,10,3,28,1,49.84
0,3,1,3,4,3,0,1,2,2,4,70,4.75,60,56,5,8,2,1,0,82.86
2,3,2,3,0,3,0,1,3,0,2,70,5.6,1680,84,5,2,0,21,1,49.84
3,3,0,0,3,4,4,3,4,3,4,90,4.7,180,77,0,10,2,14,0,51.26
3,4,1,0,4,4,2,3,3,1,3,100,8.45,60,49,40,6,3,8,14,82.16
