C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
0.25,0.75,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.4,0.625,0.06,0.56,0.12,0.8,0.6,0.125,0.04,0.4984
0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.5,1.0,0.5,0.25,0.6,0.79,0.24,0.49,0.0,0.6,0.6,0.05,0.02,0.4985
0.5,0.5,0.25,0.5,0.5,0.75,0.25,0.25,0.5,0.25,0.5,0.4,0.65,0.12,0.56,0.05,0.8,0.6,0.1,0.04,0.4984
0.5,0.5,0.5,0.75,0.75,0.5,0.25,1.0,0.25,1.0,0.75,0.6,0.76,0.24,0.42,0.12,1.0,0.8,0.175,0.06,0.5482
0.25,0.5,0.5,0.5,0.5,0.75,0.5,0.25,1.0,0.5,0.25,0.4,0.635,0.06,0.56,0.0,0.4,0.6,0.025,0.02,0.4986
0.5,0.5,0.5,0.75,0.75,0.5,0.25,1.0,0.25,1.0,0.75,0.6,0.75,0.18,0.49,0.12,1.0,0.8,0.15,0.04,0.5482
0.5,0.75,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.25,0.5,0.8,0.525,0.012,0.56,0.0,0.6,0.6,0.05,0.02,0.6828
0.5,0.5,0.5,0.75,0.75,0.5,0.25,0.75,0.5,0.75,0.75,0.6,0.775,0.24,0.42,0.12,1.0,0.8,0.125,0.06,0.5482
0.25,0.5,0.5,0.5,0.5,0.75,0.5,0.25,1.0,0.5,0.25,0.4,0.635,0.06,0.56,0.0,0.4,0.6,0.025,0.02,0.4986
0.5,0.5,0.5,0.75,0.75,0.5,0.25,0.75,0.5,1.0,0.75,0.6,0.775,0.24,0.42,0.12,1.0,1.0,0.125,0.06,0.5482
0.5,0.75,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.25,0.5,0.8,0.525,0.012,0.56,0.0,0.6,0.6,0.05,0.02,0.6828
0.5,0.5,0.5,0.75,0.75,0.5,0.25,1.0,0.25,1.0,0.75,0.6,0.75,0.18,0.49,0.12,1.0,1.0,0.15,0.04,0.5482
0.25,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.25,0.75,0.25,0.4,0.6599999999999999,0.12,0.49,0.0,0.4,0.6,0.075,0.02,0.4985
0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.75,0.5,1.0,0.5,0.4,0.775,0.24,0.42,0.12,1.0,1.0,0.125,0.06,0.5112
0.25,0.5,0.25,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.75,0.6,0.6,0.06,0.56,0.0,0.4,0.6,0.025,0.02,0.5482
0.5,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.75,1.0,0.5,0.4,0.79,0.18,0.49,0.12,1.0,0.6,0.1,0.04,0.4984
0.5,0.5,0.25,0.25,0.25,0.75,0.25,0.25,1.0,0.25,0.25,0.8,0.525,0.012,0.56,0.0,0.6,0.4,0.05,0.02,0.4985
0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.75,0.25,1.0,0.75,0.6,0.75,0.12,0.42,0.12,1.0,0.6,0.075,0.06,0.5482
0.25,0.75,0.25,0.25,0.5,0.5,0.25,0.75,1.0,0.5,0.25,0.4,0.7,0.12,0.35,0.4,0.6,0.8,0.0125,0.0,0.4985
0.25,0.75,0.5,0.5,0.75,0.75,0.25,0.75,1.0,0.5,0.25,0.4,0.6,0.06,0.84,0.4,0.6,0.6,0.0125,0.0,0.4985
0.5,0.75,0.25,0.0,0.25,0.75,0.75,0.5,1.0,0.75,0.5,0.4,0.775,0.24,0.42,0.05,0.6,0.4,0.0125,0.0,0.4984
0.25,1.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.75,0.8,0.7,0.12,0.84,0.4,1.0,0.4,0.25,0.01,0.6212
0.25,0.75,0.25,0.25,0.25,0.75,1.0,0.75,1.0,0.5,0.25,0.4,0.85,0.3,0.7,0.05,0.8,0.4,0.05,0.0,0.4985
0.25,0.75,0.5,0.25,0.25,0.5,0.5,0.25,1.0,0.25,0.5,0.6,0.7,0.36,1.4,0.05,0.6,0.4,0.0,0.0,0.4984
0.25,0.75,0.0,0.25,0.25,0.75,0.0,0.5,1.0,0.5,0.75,0.8,0.65,0.6,0.56,0.4,0.6,0.2,0.0125,0.0,0.6212
0.5,0.75,0.25,0.25,0.25,0.5,0.5,0.5,1.0,0.0,0.5,0.6,0.8,0.12,0.56,0.4,0.6,0.4,0.0,0.0,0.4984
0.25,0.75,0.5,0.5,0.5,0.75,0.25,0.25,1.0,0.5,0.5,0.6,0.65,0.36,0.56,0.4,0.8,0.4,0.0125,0.28,0.4984
0.5,0.5,0.5,0.75,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.6,0.55,0.06,0.28,0.12,0.6,0.4,0.125,2.8,0.4984
0.5,0.25,0.0,0.5,0.0,0.75,0.25,0.5,1.0,0.75,0.75,0.6,0.55,0.12,0.7,0.4,0.6,1.0,0.25,0.0,0.5482
0.25,0.75,0.5,0.25,0.75,0.5,0.5,0.5,1.0,0.75,0.5,0.4,0.65,0.12,0.98,0.12,0.6,0.8,0.625,0.0,0.4984
