,C8,C9,C10,C11,C12,C26
C8,1.0,0.09740394234560444,0.46772484977573325,0.010777296344262074,0.07229585749333393,-0.08165420737105848
C9,0.05280011873493615,1.0,0.06662425036888556,-0.250189897589928,-0.018513054438301098,-0.26324397557774226
C10,0.4989547909363534,0.13444980937498618,1.0,0.04197511922837427,0.01274421262929321,-0.05453198143886491
C11,0.04783508061966007,-0.1751917952344997,0.045816184760048125,1.0,0.10270466061014986,0.8443419689792278
C12,0.08122798842107018,0.031310094446484686,-0.008557789681433623,0.07632875713177192,1.0,0.21669989831829994
C26,-0.045973597294557446,-0.18968391298140955,-0.05177830612652095,0.8432210790892952,0.24182540666663901,1.0
